Method,p,Adj.R2,Cp,BIC,target
Bwd (Cp),8,0.03457977958548053,-1.8829556255375337,-8955.183579214106,ret_EURUSD_cum5
Bwd (CV),0,0.0,27.96797430492029,-8965.266373171578,ret_EURUSD_cum5
Ridge,29,0.022289640933141786,32.44873558528093,-8816.522272582959,ret_EURUSD_cum5
Lasso,0,0.0,27.96797430492029,-8965.266373171578,ret_EURUSD_cum5
PCR,3,0.006693907178566327,23.569949219660202,-8954.537627224458,ret_EURUSD_cum5
PLS,2,0.041580205959738215,-15.609331063339596,-8998.80214535224,ret_EURUSD_cum5
Fwd (Cp),8,0.06382554709020183,1.341108956781909,-9275.8909537331,ret_GBPUSD_cum5
Fwd (CV),0,0.0,65.7066901478961,-9253.028044426097,ret_GBPUSD_cum5
Bwd (Cp),10,0.06751967030583517,-0.7970386472882183,-9268.19161023594,ret_GBPUSD_cum5
Bwd (CV),0,0.0,65.7066901478961,-9253.028044426097,ret_GBPUSD_cum5
Ridge,29,0.05551185133273773,31.670484973389648,-9141.30876798239,ret_GBPUSD_cum5
Lasso,12,0.05550577902080789,14.704577765868635,-9242.551159105733,ret_GBPUSD_cum5
PCR,13,0.04892415080991208,23.08044884316564,-9229.150287092778,ret_GBPUSD_cum5
PLS,1,0.04899189687580319,11.106738068110872,-9300.852316195349,ret_GBPUSD_cum5
Fwd (Cp),5,0.03152328758835421,-6.828949824839128,-7609.664868818469,ret_GC_cum5
Fwd (CV),0,0.0,22.519090563798045,-7605.225175385337,ret_GC_cum5
Bwd (Cp),5,0.03152328758835421,-6.828949824839128,-7609.664868818469,ret_GC_cum5
Bwd (CV),0,0.0,22.519090563798045,-7605.225175385337,ret_GC_cum5
Ridge,29,-0.027857740389656938,80.5189964540757,-7402.911173682942,ret_GC_cum5
Lasso,0,0.0,22.519090563798045,-7605.225175385337,ret_GC_cum5
PCR,10,0.018556785218137195,12.252192105637278,-7565.579138777026,ret_GC_cum5
PLS,1,0.025997622051020075,-4.851401045728153,-7627.462012736988,ret_GC_cum5
Fwd (Cp),6,0.015439335768007156,0.26601759996401597,-8987.15035560933,ret_JPYUSD_cum5
Fwd (CV),0,0.0,10.9009981212007,-9006.321428515228,ret_JPYUSD_cum5
Bwd (Cp),6,0.015439335768007156,0.26601759996401597,-8987.15035560933,ret_JPYUSD_cum5
Bwd (CV),0,0.0,10.9009981212007,-9006.321428515228,ret_JPYUSD_cum5
Ridge,29,-0.02785780126653159,68.90096897241142,-8804.007363380777,ret_JPYUSD_cum5
Lasso,0,0.0,10.9009981212007,-9006.321428515228,ret_JPYUSD_cum5
PCR,14,0.005654820163947694,18.744706452474247,-8928.831622508731,ret_JPYUSD_cum5
PLS,1,0.016462434848125818,-5.8694402058770265,-9018.124490251146,ret_JPYUSD_cum5
Fwd (Cp),8,0.039038422515555116,3.0143047273729735,-6975.491157004195,ret_XLE_cum5
Fwd (CV),1,0.014835200199427412,22.74742675139032,-6990.648834436625,ret_XLE_cum5
Bwd (Cp),10,0.04046529954936062,3.460514764468371,-6965.148760231613,ret_XLE_cum5
Bwd (CV),1,0.014835200199427412,22.74742675139032,-6990.648834436625,ret_XLE_cum5
Ridge,29,0.013377607442907724,51.774091499692304,-6822.1539832183835,ret_XLE_cum5
Lasso,3,0.009426103884396131,30.68072844199901,-6972.837462517959,ret_XLE_cum5
PCR,11,0.020465101498642668,26.384042581924177,-6937.089194316215,ret_XLE_cum5
PLS,1,0.03391840817370195,1.6383932289411405,-7011.598282431667,ret_XLE_cum5
Fwd (Cp),10,0.07546279586528482,3.6522671249033465,-6671.983375281551,ret_XLF_cum5
Fwd (CV),0,0.0,80.3133474111687,-6647.657656502204,ret_XLF_cum5
Bwd (Cp),10,0.07582016859771701,3.2453725020359343,-6672.397442111515,ret_XLF_cum5
Bwd (CV),1,0.025357712436071878,52.1225027681578,-6669.191088831509,ret_XLF_cum5
Ridge,29,0.02633370224755105,77.7183425051312,-6503.352674167142,ret_XLF_cum5
Lasso,1,0.008446741676031988,71.54034269024692,-6650.767594440576,ret_XLF_cum5
PCR,9,0.061536718894215525,18.516136361679855,-6661.9379034913445,ret_XLF_cum5
PLS,1,0.0765630836424187,-6.673512868359012,-6726.990850169071,ret_XLF_cum5
Fwd (Cp),7,0.05116429655268695,3.955705428468491,-7592.466589978059,ret_XLI_cum5
Fwd (CV),0,0.0,54.4074237766456,-7578.02295091733,ret_XLI_cum5
Bwd (Cp),9,0.0538452113389124,2.9768876212467603,-7583.561214095428,ret_XLI_cum5
Bwd (CV),0,0.0,54.4074237766456,-7578.02295091733,ret_XLI_cum5
Ridge,29,0.026577948769672344,52.91129974921682,-7433.986665199657,ret_XLI_cum5
Lasso,6,0.029077786033719022,27.624917155567346,-7573.791427975744,ret_XLI_cum5
PCR,13,0.035917646054689945,26.898633782070874,-7539.597903718217,ret_XLI_cum5
PLS,1,0.05459728794359908,-5.92016586883733,-7632.178542112575,ret_XLI_cum5
Fwd (Cp),11,0.04532761341773539,2.728790547110748,-7768.4895794944805,ret_XLK_cum5
Fwd (CV),3,0.027541370860877157,14.363706727911904,-7796.470205614361,ret_XLK_cum5
Bwd (Cp),11,0.045360360824317714,2.6927824924227934,-7768.526317829525,ret_XLK_cum5
Bwd (CV),1,0.020852483625262375,19.807481409225602,-7801.075815962864,ret_XLK_cum5
Ridge,29,0.003094603181740041,66.53519473597112,-7614.914694275784,ret_XLK_cum5
Lasso,2,0.010327696858285162,32.46191139678149,-7783.651136697456,ret_XLK_cum5
PCR,13,0.023610351785811834,28.580843405921314,-7732.470914188492,ret_XLK_cum5
PLS,1,0.03515794896029689,3.92909077742479,-7816.8386885602185,ret_XLK_cum5
Fwd (Cp),8,0.032987014045505525,-4.032402839866791,-8198.555382546598,ret_XLV_cum5
