Asset,Horizon,Model,Feature,Rank,MaxRank
GBPUSD,cum15,RF,surp_avghourlyearnings,0,14
GBPUSD,cum15,RF,surp_cpi,2,14
GBPUSD,cum15,RF,surp_tradebal,9,14
GBPUSD,cum15,RF,surp_indprod,1,14
GBPUSD,cum15,RF,surp_fedratedec,0,14
GSPC,cum15,Fwd (Cp),surp_nfp,0,14
GSPC,cum15,Fwd (Cp),surp_unemp,0,14
GSPC,cum15,Fwd (Cp),surp_corecpi,10,14
GSPC,cum15,Fwd (Cp),surp_gdp,12,14
GSPC,cum15,Fwd (Cp),surp_retsales,11,14
GSPC,cum15,Fwd (Cp),surp_ism_pmi,14,14
GSPC,cum15,Fwd (Cp),surp_dgorders,0,14
GSPC,cum15,Fwd (Cp),surp_newhomesales,13,14
GSPC,cum15,Fwd (Cp),surp_consconfid,0,14
GSPC,cum15,Fwd (Cp),surp_avghourlyearnings,0,14
GSPC,cum15,Fwd (Cp),surp_cpi,0,14
GSPC,cum15,Fwd (Cp),surp_tradebal,0,14
GSPC,cum15,Fwd (Cp),surp_indprod,9,14
GSPC,cum15,Fwd (Cp),surp_fedratedec,0,14
GSPC,cum15,Fwd (CV),surp_nfp,0,14
GSPC,cum15,Fwd (CV),surp_unemp,0,14
GSPC,cum15,Fwd (CV),surp_corecpi,0,14
GSPC,cum15,Fwd (CV),surp_gdp,0,14
GSPC,cum15,Fwd (CV),surp_retsales,0,14
GSPC,cum15,Fwd (CV),surp_ism_pmi,0,14
GSPC,cum15,Fwd (CV),surp_dgorders,0,14
GSPC,cum15,Fwd (CV),surp_newhomesales,0,14
GSPC,cum15,Fwd (CV),surp_consconfid,0,14
GSPC,cum15,Fwd (CV),surp_avghourlyearnings,0,14
GSPC,cum15,Fwd (CV),surp_cpi,0,14
GSPC,cum15,Fwd (CV),surp_tradebal,0,14
GSPC,cum15,Fwd (CV),surp_indprod,0,14
GSPC,cum15,Fwd (CV),surp_fedratedec,0,14
GSPC,cum15,Bwd (Cp),surp_nfp,0,14
GSPC,cum15,Bwd (Cp),surp_unemp,0,14
GSPC,cum15,Bwd (Cp),surp_corecpi,10,14
GSPC,cum15,Bwd (Cp),surp_gdp,12,14
GSPC,cum15,Bwd (Cp),surp_retsales,11,14
GSPC,cum15,Bwd (Cp),surp_ism_pmi,14,14
GSPC,cum15,Bwd (Cp),surp_dgorders,0,14
GSPC,cum15,Bwd (Cp),surp_newhomesales,13,14
GSPC,cum15,Bwd (Cp),surp_consconfid,0,14
GSPC,cum15,Bwd (Cp),surp_avghourlyearnings,0,14
GSPC,cum15,Bwd (Cp),surp_cpi,0,14
GSPC,cum15,Bwd (Cp),surp_tradebal,0,14
GSPC,cum15,Bwd (Cp),surp_indprod,9,14
GSPC,cum15,Bwd (Cp),surp_fedratedec,0,14
GSPC,cum15,Bwd (CV),surp_nfp,0,14
GSPC,cum15,Bwd (CV),surp_unemp,0,14
GSPC,cum15,Bwd (CV),surp_corecpi,0,14
GSPC,cum15,Bwd (CV),surp_gdp,0,14
GSPC,cum15,Bwd (CV),surp_retsales,0,14
GSPC,cum15,Bwd (CV),surp_ism_pmi,14,14
GSPC,cum15,Bwd (CV),surp_dgorders,0,14
GSPC,cum15,Bwd (CV),surp_newhomesales,0,14
GSPC,cum15,Bwd (CV),surp_consconfid,0,14
GSPC,cum15,Bwd (CV),surp_avghourlyearnings,0,14
GSPC,cum15,Bwd (CV),surp_cpi,0,14
GSPC,cum15,Bwd (CV),surp_tradebal,0,14
GSPC,cum15,Bwd (CV),surp_indprod,0,14
GSPC,cum15,Bwd (CV),surp_fedratedec,0,14
GSPC,cum15,Lasso,surp_nfp,0,14
GSPC,cum15,Lasso,surp_unemp,0,14
GSPC,cum15,Lasso,surp_corecpi,0,14
GSPC,cum15,Lasso,surp_gdp,0,14
GSPC,cum15,Lasso,surp_retsales,0,14
GSPC,cum15,Lasso,surp_ism_pmi,0,14
GSPC,cum15,Lasso,surp_dgorders,0,14
GSPC,cum15,Lasso,surp_newhomesales,0,14
