Asset,Horizon,Model,Feature,Rank,MaxRank
XLE,spot,Bwd (Cp),surp_indprod,8,14
XLE,spot,Bwd (Cp),surp_fedratedec,10,14
XLE,spot,Bwd (CV),surp_nfp,0,14
XLE,spot,Bwd (CV),surp_unemp,0,14
XLE,spot,Bwd (CV),surp_corecpi,0,14
XLE,spot,Bwd (CV),surp_gdp,0,14
XLE,spot,Bwd (CV),surp_retsales,0,14
XLE,spot,Bwd (CV),surp_ism_pmi,0,14
XLE,spot,Bwd (CV),surp_dgorders,0,14
XLE,spot,Bwd (CV),surp_newhomesales,0,14
XLE,spot,Bwd (CV),surp_consconfid,0,14
XLE,spot,Bwd (CV),surp_avghourlyearnings,0,14
XLE,spot,Bwd (CV),surp_cpi,0,14
XLE,spot,Bwd (CV),surp_tradebal,0,14
XLE,spot,Bwd (CV),surp_indprod,0,14
XLE,spot,Bwd (CV),surp_fedratedec,0,14
XLE,spot,Lasso,surp_nfp,0,14
XLE,spot,Lasso,surp_unemp,0,14
XLE,spot,Lasso,surp_corecpi,0,14
XLE,spot,Lasso,surp_gdp,0,14
XLE,spot,Lasso,surp_retsales,0,14
XLE,spot,Lasso,surp_ism_pmi,0,14
XLE,spot,Lasso,surp_dgorders,0,14
XLE,spot,Lasso,surp_newhomesales,0,14
XLE,spot,Lasso,surp_consconfid,0,14
