Method,p,Adj.R2,Cp,BIC,target
Lasso,2,0.009054247459190479,16.001715510976965,-8208.195985315493,ret_XLV_cum5
PCR,4,0.00016682839975112884,27.654309174273294,-8186.688209745083,ret_XLV_cum5
PLS,1,0.021971449176003577,0.9095939508556512,-8228.22250964754,ret_XLV_cum5
Fwd (Cp),11,0.0401029154454674,2.688150139306117,-10163.006150671705,ret_ZN_cum5
Fwd (CV),0,-4.440892098500626e-16,35.90118529588017,-10184.843535950637,ret_ZN_cum5
Bwd (Cp),11,0.0401029154454674,2.688150139306117,-10163.006150671705,ret_ZN_cum5
Bwd (CV),0,-4.440892098500626e-16,35.90118529588017,-10184.843535950637,ret_ZN_cum5
Ridge,29,0.02092404839144002,41.46284933036986,-10034.604586546266,ret_ZN_cum5
Lasso,3,0.018572847525167302,18.339706226560565,-10187.000073219415,ret_ZN_cum5
PCR,6,0.016329416450893475,23.76425841229866,-10166.641126129862,ret_ZN_cum5
PLS,1,0.02461852411010068,9.692952425621797,-10205.565008190151,ret_ZN_cum5
Fwd (Cp),8,0.03231237533796161,-3.382456958335979,-13460.40782029109,ret_ZT_cum5
Fwd (CV),0,0.0,23.83640668554972,-13473.003035962553,ret_ZT_cum5
Bwd (Cp),8,0.03231237533796161,-3.382456958335979,-13460.40782029109,ret_ZT_cum5
Bwd (CV),0,0.0,23.83640668554972,-13473.003035962553,ret_ZT_cum5
Ridge,29,0.0006261991937059896,51.55169011083444,-13300.78752714559,ret_ZT_cum5
Lasso,1,0.004189074036078266,20.241370111548804,-13471.524012245265,ret_ZT_cum5
PCR,4,0.012497777196806448,14.144069058451123,-13462.578349314346,ret_ZT_cum5
PLS,1,0.020605327077274915,2.317857742640399,-13489.326930440016,ret_ZT_cum5
Fwd (Cp),11,0.05931907283335858,2.9644970767633367,-7873.707988110583,ret_GSPC_cum5
Fwd (CV),0,0.0,58.76884621059662,-7873.887534809252,ret_GSPC_cum5
Bwd (Cp),11,0.05931907283335858,2.9644970767633367,-7873.707988110583,ret_GSPC_cum5
Bwd (CV),0,0.0,58.76884621059662,-7873.887534809252,ret_GSPC_cum5
Ridge,29,-0.0034699716024635396,90.01041227702376,-7697.291249918066,ret_GSPC_cum5
Lasso,3,0.018967764746749105,40.27559879823161,-7876.47511931668,ret_GSPC_cum5
PCR,4,0.012698607221582003,48.285331090800355,-7863.680681423633,ret_GSPC_cum5
PLS,1,0.03443395013054673,20.917613449993723,-7905.441253404892,ret_GSPC_cum5
Fwd (Cp),8,0.05268617279953747,0.37451368433562493,-7299.001870649686,ret_RUT_cum5
Fwd (CV),0,0.0,51.335740697410074,-7288.807379929033,ret_RUT_cum5
Bwd (Cp),8,0.05268617279953747,0.37451368433562493,-7299.001870649686,ret_RUT_cum5
Bwd (CV),1,0.02189845035867999,27.778009960024974,-7306.546281209454,ret_RUT_cum5
Ridge,29,-0.027857817758995873,109.33572843351863,-7086.493297609881,ret_RUT_cum5
Lasso,3,0.014936704834880632,37.5074062831427,-7287.003243741009,ret_RUT_cum5
PCR,8,0.03858835123827331,16.050718870732453,-7283.180798786521,ret_RUT_cum5
PLS,1,0.0360453450063809,11.943550669776869,-7322.149941016887,ret_RUT_cum5
Fwd (Cp),8,0.05049595325548717,-6.458055850682058,-8474.33778341889,ret_CADUSD_cum10
Fwd (CV),0,0.0,41.501322136936096,-8466.616620482007,ret_CADUSD_cum10
Bwd (Cp),8,0.05049595325548717,-6.458055850682058,-8474.33778341889,ret_CADUSD_cum10
Bwd (CV),1,0.02288543989548364,17.07291086515238,-8485.436799559226,ret_CADUSD_cum10
Ridge,29,-0.027857824391414265,99.50131714638701,-8264.302531252055,ret_CADUSD_cum10
Lasso,0,0.0,41.501322136936096,-8466.616620482007,ret_CADUSD_cum10
