Method,p,Adj.R2,Cp,BIC,target
Fwd (Cp),8,0.05745804590913817,-2.7418336799498775,-9081.193856198468,ret_XLE
Fwd (CV),0,0.0,56.850852724634024,-9062.894762162061,ret_XLE
Bwd (Cp),8,0.05745804590913817,-2.7418336799498775,-9081.193856198468,ret_XLE
Bwd (CV),0,0.0,56.850852724634024,-9062.894762162061,ret_XLE
Ridge,27,0.010654200314718532,70.25977202293575,-8912.636663099738,ret_XLE
Lasso,3,0.029524844382650905,25.018639352415903,-9078.48590238637,ret_XLE
PCR,1,0.0024511008063272666,54.91661671774682,-9059.628305929302,ret_XLE
PLS,1,0.04729435470949339,2.145027327822163,-9111.280898735278,ret_XLE
Fwd (Cp),13,0.10888701871297612,9.428668534998906,-8838.006271393519,ret_XLF
Fwd (CV),0,0.0,132.90955536176966,-8786.763589188586,ret_XLF
Bwd (Cp),13,0.10888701871297612,9.428668534998906,-8838.006271393519,ret_XLF
Bwd (CV),0,0.0,132.90955536176966,-8786.763589188586,ret_XLF
Ridge,27,0.017152911881681,135.74463814607975,-8643.906469563364,ret_XLF
Lasso,8,0.0715906390575467,50.840895753997074,-8822.028601946633,ret_XLF
PCR,1,-9.274370162470902e-05,133.90817747955816,-8780.637021447077,ret_XLF
PLS,2,0.11050041863797055,-3.6361252162569144,-8906.21872040374,ret_XLF
Fwd (Cp),10,0.11057169044591653,3.912677332958083,-9783.673147943056,ret_XLI
Fwd (CV),0,0.0,132.44440967459127,-9712.267889875564,ret_XLI
Bwd (Cp),12,0.11191148207141288,4.264031001868261,-9773.34014079788,ret_XLI
Bwd (CV),0,0.0,132.44440967459127,-9712.267889875564,ret_XLI
Ridge,27,0.05369485450325717,90.59739700870432,-9611.959522866899,ret_XLI
Lasso,6,0.05720269537805378,66.42452424516091,-9742.295953047036,ret_XLI
PCR,1,0.0007052888239944544,132.44400537540469,-9707.03778727059,ret_XLI
PLS,1,0.08639921468103406,25.12716619722937,-9807.72152337574,ret_XLI
Fwd (Cp),11,0.10333894069071459,2.6482616051355308,-9881.197127350872,ret_XLK
Fwd (CV),0,2.220446049250313e-16,119.77616462222818,-9824.900484433383,ret_XLK
Bwd (Cp),11,0.10333894069071459,2.6482616051355308,-9881.197127350872,ret_XLK
Bwd (CV),0,2.220446049250313e-16,119.77616462222818,-9824.900484433383,ret_XLK
Ridge,27,0.02336617287968834,115.62339733410158,-9689.165164700697,ret_XLK
Lasso,1,0.002457196209145196,117.62419034255754,-9821.6408901783,ret_XLK
PCR,1,0.011826516417614785,106.00932231601405,-9832.238400752793,ret_XLK
PLS,1,0.0673798407033066,37.14151593761767,-9897.215486919462,ret_XLK
Fwd (Cp),12,0.10401963614431387,7.409250817824841,-10229.462294812643,ret_XLV
Fwd (CV),0,0.0,124.95231694824724,-10178.325311382578,ret_XLV
Bwd (Cp),12,0.10401963614431387,7.409250817824841,-10229.462294812643,ret_XLV
Bwd (CV),0,0.0,124.95231694824724,-10178.325311382578,ret_XLV
Ridge,27,0.05256127713007308,85.05659693339544,-10076.672509613336,ret_XLV
Lasso,4,0.06586452187380187,46.738929042827976,-10230.755251226376,ret_XLV
PCR,1,0.016769685457209915,104.96623636955701,-10191.294940972142,ret_XLV
PLS,1,0.07078115799161921,37.73049538301143,-10254.743443689644,ret_XLV
Fwd (Cp),16,0.15862902657267963,9.92117653151513,-12362.527476066916,ret_ZN
Fwd (CV),1,0.07631326691746665,103.79656147346986,-12347.934490780135,ret_ZN
Bwd (Cp),16,0.15862902657267963,9.92117653151513,-12362.527476066916,ret_ZN
Bwd (CV),1,0.07631326691746665,103.79656147346986,-12347.934490780135,ret_ZN
Ridge,27,0.00907418513718572,214.38357248069997,-12112.760457743361,ret_ZN
Lasso,0,0.0,204.00265116608466,-12264.810591199208,ret_ZN
PCR,25,0.1502278702380757,29.862305106323447,-12297.331734096626,ret_ZN
PLS,3,0.16648778065221814,-13.547056537843673,-12451.25207692843,ret_ZN
Fwd (Cp),14,0.11876796423251124,8.472910209775137,-15246.024786887941,ret_ZT
Fwd (CV),0,0.0,144.71707868596081,-15188.271048430362,ret_ZT
Bwd (Cp),14,0.11876796423251124,8.472910209775137,-15246.024786887941,ret_ZT
Bwd (CV),0,0.0,144.71707868596081,-15188.271048430362,ret_ZT
Ridge,27,-0.00344241786527677,172.51092274346433,-15022.124892492244,ret_ZT
Lasso,0,0.0,144.71707868596081,-15188.271048430362,ret_ZT
PCR,25,0.11494583516987811,24.267651221412052,-15175.107860208642,ret_ZT
PLS,6,0.1301916137498793,-13.956003652642721,-15308.788621615895,ret_ZT
Fwd (Cp),11,0.11461401169295748,4.102130555297435,-10030.957554312374,ret_GSPC
Fwd (CV),0,0.0,137.23533299669793,-9960.450204989318,ret_GSPC
Bwd (Cp),11,0.11461401169295748,4.102130555297435,-10030.957554312374,ret_GSPC
Bwd (CV),0,0.0,137.23533299669793,-9960.450204989318,ret_GSPC
Ridge,27,0.0595492799062487,87.83299094094423,-9867.110986398273,ret_GSPC
Lasso,4,0.05408978521354901,72.93459649648094,-9998.813250378855,ret_GSPC
PCR,1,0.00858865708226031,127.31699083523654,-9964.114503257646,ret_GSPC
PLS,1,0.08103245407473536,36.24688586082539,-10049.32630543079,ret_GSPC
Fwd (Cp),11,0.10054008346703713,6.648171657156581,-9293.739660895406,ret_RUT
