model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades,net_cum_return,net_ann_return,net_ann_excess_ret,net_ann_vol,net_sharpe,net_max_drawdown,net_oos_r2,net_hit_rate,net_n_trades
Fwd (CV),ret_XLV_cum3,3,long,0.185,0.0334,0.0204,0.0951,0.2149,-0.1796,0.001584,0.5121,289,-0.2207,-0.0472,-0.0602,0.0953,-0.6316,-0.3234,0.001584,0.5121,289
Fwd (CV),ret_XLV_cum3,3,short,0.0726,0.0137,0.0007,0.0376,0.0177,-0.052,0.001584,0.5,20,0.0306,0.0059,-0.0071,0.0371,-0.1927,-0.0614,0.001584,0.5,20
Fwd (CV),ret_XLV_cum5,5,full,0.5672,0.091,0.078,0.1247,0.6255,-0.1173,0.007603,0.5289,450,-0.0034,-0.0007,-0.0137,0.125,-0.1094,-0.2098,0.007603,0.5289,450
Fwd (CV),ret_XLV_cum5,5,long,0.4462,0.0741,0.0611,0.1293,0.4729,-0.1522,0.007603,0.529,431,-0.0759,-0.0152,-0.0282,0.1295,-0.2177,-0.2657,0.007603,0.529,431
Fwd (CV),ret_XLV_cum5,5,short,0.1194,0.0221,0.0091,0.0428,0.2121,-0.0549,0.007603,0.5263,19,0.0776,0.0146,0.0016,0.0429,0.037,-0.0587,0.007603,0.5263,19
Bwd (CV),ret_ZN,1,full,0.1184,0.0219,0.0089,0.039,0.2287,-0.0393,-0.014466,0.499,487,-0.578,-0.154,-0.167,0.0412,-4.0515,-0.5781,-0.014466,0.499,487
Bwd (CV),ret_ZN,1,long,-0.0007,-0.0001,-0.0131,0.0057,-2.3021,-0.0078,-0.014466,0.4118,17,-0.0341,-0.0067,-0.0197,0.0068,-2.9052,-0.0341,-0.014466,0.4118,17
Bwd (CV),ret_ZN,1,short,0.1192,0.0221,0.009,0.0386,0.2346,-0.0393,-0.014466,0.5021,470,-0.5631,-0.1483,-0.1613,0.0408,-3.957,-0.5632,-0.014466,0.5021,470
Lasso,ret_ZN_cum5,5,full,-0.0583,-0.0116,-0.0246,0.0374,-0.6575,-0.0929,-0.010708,0.4154,130,-0.1997,-0.0423,-0.0553,0.0379,-1.4575,-0.2045,-0.010708,0.4154,130
Lasso,ret_ZN_cum5,5,long,-0.106,-0.0215,-0.0345,0.0289,-1.1946,-0.1179,-0.010708,0.2879,66,-0.1758,-0.0368,-0.0498,0.0294,-1.6965,-0.1851,-0.010708,0.2879,66
Lasso,ret_ZN_cum5,5,short,0.0532,0.0101,-0.0029,0.0246,-0.1186,-0.0551,-0.010708,0.5469,64,-0.0311,-0.0061,-0.0191,0.025,-0.7639,-0.0728,-0.010708,0.5469,64
PLS,ret_ZT,1,full,-0.0011,-0.0002,-0.0132,0.0006,-23.4302,-0.0011,-0.000183,0.375,8,-0.0169,-0.0033,-0.0163,0.0027,-6.0346,-0.0169,-0.000183,0.375,8
PLS,ret_ZT,1,long,-0.0011,-0.0002,-0.0132,0.0006,-23.4302,-0.0011,-0.000183,0.375,8,-0.0169,-0.0033,-0.0163,0.0027,-6.0346,-0.0169,-0.000183,0.375,8
PLS,ret_ZT,1,short,0.0,0.0,-0.013,0.0,,0.0,-0.000183,,0,0.0,0.0,-0.013,0.0,,0.0,-0.000183,,0
RF,ret_ZT_cum10,10,full,-0.0085,-0.0016,-0.0147,0.0176,-0.8355,-0.0395,-0.002997,0.5023,217,-0.1942,-0.041,-0.054,0.0181,-2.9852,-0.1947,-0.002997,0.5023,217
RF,ret_ZT_cum10,10,long,-0.0198,-0.0039,-0.0169,0.0043,-3.9464,-0.0204,-0.002997,0.5,28,-0.0567,-0.0112,-0.0243,0.0053,-4.6081,-0.0567,-0.002997,0.5,28
RF,ret_ZT_cum10,10,short,0.0106,0.002,-0.011,0.0171,-0.6408,-0.0386,-0.002997,0.5026,189,-0.1565,-0.0325,-0.0455,0.0176,-2.5884,-0.1614,-0.002997,0.5026,189
Lasso,ret_ZT_cum15,15,full,-0.0048,-0.0009,-0.0139,0.0186,-0.7514,-0.0341,-0.002424,0.4831,445,-0.1586,-0.0329,-0.0459,0.0187,-2.4542,-0.1586,-0.002424,0.4831,445
Lasso,ret_ZT_cum15,15,long,-0.0159,-0.0031,-0.0161,0.0032,-4.9956,-0.0184,-0.002424,0.4,85,-0.052,-0.0103,-0.0233,0.0037,-6.2254,-0.0524,-0.002424,0.4,85
Lasso,ret_ZT_cum15,15,short,0.0113,0.0022,-0.0108,0.0183,-0.5926,-0.0341,-0.002424,0.5028,360,-0.1125,-0.0229,-0.0359,0.0184,-1.9511,-0.1273,-0.002424,0.5028,360
PLS,ret_ZT_cum3,3,full,-0.0039,-0.0008,-0.0138,0.0011,-12.0568,-0.0049,-0.001149,0.5,12,-0.023,-0.0045,-0.0175,0.0024,-7.2386,-0.023,-0.001149,0.5,12
PLS,ret_ZT_cum3,3,long,-0.0039,-0.0008,-0.0138,0.0011,-12.0568,-0.0049,-0.001149,0.5,12,-0.023,-0.0045,-0.0175,0.0024,-7.2386,-0.023,-0.001149,0.5,12
PLS,ret_ZT_cum3,3,short,0.0,0.0,-0.013,0.0,,0.0,-0.001149,,0,0.0,0.0,-0.013,0.0,,0.0,-0.001149,,0
Lasso,ret_ZT_cum5,5,full,0.0068,0.0013,-0.0117,0.0182,-0.6419,-0.033,-0.001444,0.5244,389,-0.3223,-0.0727,-0.0857,0.0193,-4.4315,-0.3223,-0.001444,0.5244,389
Lasso,ret_ZT_cum5,5,long,-0.0108,-0.0021,-0.0151,0.0033,-4.6503,-0.0119,-0.001444,0.4444,27,-0.0434,-0.0086,-0.0216,0.0043,-4.9935,-0.0434,-0.001444,0.4444,27
Lasso,ret_ZT_cum5,5,short,0.0178,0.0034,-0.0096,0.0179,-0.5348,-0.033,-0.001444,0.5304,362,-0.2916,-0.0646,-0.0777,0.019,-4.0952,-0.2919,-0.001444,0.5304,362
